,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ADPGK-AS1,119.068670279453,0.359063300800363,0.0848531511911754,4.23158475271459,2.32050523095541e-05,0.0104224178643927
APOBEC3B-AS1,34.8465457803439,0.655824165990444,0.137049107099034,4.78532242837987,1.70713057749203e-06,0.00428945009771165
APOL6,9.51830856663321,0.950645977769067,0.218788990465728,4.34503571567044,1.39253004350758e-05,0.00954262860723647
ARIH2OS,42.5261612805173,0.350383927586336,0.0755566492933813,4.63736720544368,3.52875177857218e-06,0.00549841455391434
ARL4C,27.6969703140252,0.590179965190024,0.148897283457262,3.96367181110744,7.38057010920776e-05,0.0190777495252742
BAD,12.1531344865685,0.571299179028517,0.123376358543309,4.63054012757211,3.64713090601906e-06,0.00549841455391434
BHLHE40,9.07957454544884,0.523241617323508,0.140749741745981,3.71753163332854,0.00020117880274888,0.0346222677480743
DLG4,56.5619151153027,0.498558516802505,0.119373601839643,4.17645533953334,2.96086842023957e-05,0.0118382004651457
DUSP1,8.39987993505071,1.40630354295768,0.345356994186549,4.07202855778287,4.66054635336018e-05,0.0146379993381788
FLNA,125.955782150926,1.05333242417305,0.283429287943651,3.71638524661735,0.00020209336440903,0.0346222677480743
FOS,8.99115645873335,1.16350240196954,0.294043364231948,3.95690752963821,7.59263048233251e-05,0.0190777495252742
FTL,16.0394208371555,0.973095615226554,0.241664386942939,4.02664053043247,5.65794295445025e-05,0.0155940678446394
HIF1A-AS1,108.886978941865,0.328838120528752,0.0777634959237035,4.22869518175194,2.35050548812253e-05,0.0104224178643927
HLA-E,46.5620156555243,1.11352502516173,0.290386669338762,3.83462859261872,0.00012575416892394,0.0243060237268888
IFIT2,2.94155508551085,0.908091812461593,0.235837090161073,3.85050465065263,0.000117874691744752,0.0233826164834722
IFIT5,4.1403562605915,0.803335461950885,0.180761441772435,4.44417489744424,8.82298107552009e-06,0.00738973681636338
IFITM1,3.26981909763163,0.817849722107094,0.223017836704658,3.66719422173469,0.000245226531314791,0.0388817126067452
ISG20,2.60245630626804,1.12757989694093,0.257095089898893,4.38584765420595,1.15534966061315e-05,0.0087090257417019
JUN,10.4940034109057,1.25324854961565,0.300201427049683,4.17469217895571,2.98389239636201e-05,0.0118382004651457
JUNB,30.8195011715117,0.778010570414499,0.180349761143165,4.31389853517411,1.60400585199168e-05,0.0100758300935944
JUND,17.8719601563571,0.73375893426957,0.202069461359241,3.63122131040418,0.000282083157879802,0.0433947519203663
KCNA6,2.30667487316818,-1.39658191993935,0.374605187267469,-3.72814356930456,0.000192895483487029,0.0346201465363149
KLF13,12.4145760432501,0.915484270524959,0.221135869830147,4.13991755940877,3.47430657063468e-05,0.0130946614647221
KLF3-AS1,84.1970618432528,0.317327691021611,0.0847715741593346,3.74332663004664,0.000181599916142425,0.0333878089727219
LOC101927322,69.947434354881,0.365485535645357,0.0985950361393974,3.70693647425231,0.00020978153689196,0.0351407383353687
LTB4R2,46.276280701449,0.390132823653394,0.0997131367181272,3.91255191135182,9.13258981411024e-05,0.0208610490965948
MARCKS,8.95657213028975,0.974595170497906,0.237579601433298,4.10218370861074,4.09269112091779e-05,0.0138667378239339
MCL1,17.9993110951866,0.840294127511381,0.208637436437451,4.02753284290521,5.63651958997802e-05,0.0155940678446394
MIR6723,24.5560994567964,-2.17160962565992,0.445460232720543,-4.87497977630309,1.08819602734059e-06,0.00428945009771165
MTRNR2L2,5.5057796660625,-2.42645333320244,0.572045661088542,-4.24171267829418,2.21820551472642e-05,0.0104224178643927
MTRNR2L8,29.6808379717739,-0.927472476017866,0.204261437712671,-4.5406146475994,5.60904680406028e-06,0.00675465428594561
MTRNR2L9,3.62804905647503,-2.65416088925833,0.676383675669999,-3.92404634341482,8.70739738143507e-05,0.0208610490965948
MUC4,6.35380015979093,-1.77062696175451,0.45673611257549,-3.87669578341446,0.000105884612854286,0.0217442656420871
NCAPH2,360.76089589901,0.482693218208642,0.100858025441905,4.78586821518411,1.70249745364625e-06,0.00428945009771165
NFKBIA,10.131142704613,0.796935910620169,0.193304635471158,4.12269425757808,3.74466583120316e-05,0.013441567159814
OAZ1,10.881288897127,1.14131490241552,0.294551312841369,3.87475747911597,0.000106730940402922,0.0217442656420871
ODF3B,49.91602885635,0.400702515268022,0.110537606311979,3.62503340389955,0.000288924104353842,0.0435581979723852
PCBP1,7.82431728649574,0.677374018426954,0.173034963848636,3.91466558758318,9.05295918739504e-05,0.0208610490965948
PPP1R15A,7.15749139991901,1.1008096582146,0.25702957856802,4.2828131468273,1.84545140977818e-05,0.0104224178643927
PPP2CA,3.61215808713814,0.868134349132612,0.236888289801541,3.66474151111443,0.000247588512221248,0.0388817126067452
PRG4,100.394465902095,-0.279065027117217,0.0754978767747058,-3.69632947360863,0.000218739065421253,0.0358446755466392
RARA-AS1,56.4311478984978,0.466689402339637,0.103318729691424,4.51698742070748,6.2725630142769e-06,0.00675465428594561
RNF213,42.8675289189383,1.11736883860757,0.276628160711692,4.03924472379412,5.36235938598919e-05,0.0155940678446394
RPPH1,156.874428656085,1.75499082302597,0.394235799531539,4.45162723707838,8.52220118168908e-06,0.00738973681636338
RPS19,24.8679878971765,1.01067595180882,0.280131708177076,3.60785988271615,0.000308733134884259,0.0442210176992568
RPS9,6.39093532241197,1.23491097511094,0.342457421252959,3.60602778176841,0.000310919864428311,0.0442210176992568
SSR4,22.7166241938002,0.31327437740384,0.0779074239306794,4.02111071831339,5.79243698129348e-05,0.0155940678446394
STARD7-AS1,110.675343788814,0.316342688135864,0.0772606276214644,4.09448768246841,4.23102905214222e-05,0.0138667378239339
TGFB1,16.5541700526955,1.00859938110656,0.237853559335357,4.24042164399359,2.23100306336377e-05,0.0104224178643927
TOR1A,11.0928174538347,0.37094766571297,0.102573017094542,3.6164254130408,0.000298699333328242,0.0441489328358488
